round,prediction,actual,result,bet,profit,balance
426,閒,閒,贏,100,100.0,2380.0
427,莊,莊,贏,100,95.0,2475.0
428,閒,莊,輸,100,-100.0,2375.0
429,閒,閒,贏,100,100.0,2475.0
430,莊,閒,輸,100,-100.0,2375.0
431,莊,莊,贏,100,95.0,2470.0
432,閒,莊,輸,100,-100.0,2370.0
433,閒,莊,輸,100,-100.0,2270.0
434,閒,閒,贏,100,100.0,2370.0
435,莊,閒,輸,100,-100.0,2270.0
436,莊,莊,贏,100,95.0,2365.0
437,閒,閒,贏,100,100.0,2465.0
438,莊,莊,贏,100,95.0,2560.0
439,閒,莊,輸,100,-100.0,2460.0
440,閒,莊,輸,100,-100.0,2360.0
441,閒,莊,輸,100,-100.0,2260.0
442,閒,莊,輸,100,-100.0,2160.0
443,閒,和,和局,0,0.0,2160.0
444,閒,閒,贏,100,100.0,2260.0
445,莊,莊,贏,100,95.0,2355.0
446,閒,莊,輸,100,-100.0,2255.0
447,閒,閒,贏,100,100.0,2355.0
448,莊,莊,贏,100,95.0,2450.0
449,閒,閒,贏,100,100.0,2550.0
450,莊,莊,贏,100,95.0,2645.0
451,閒,閒,贏,100,100.0,2745.0
452,莊,莊,贏,100,95.0,2840.0
453,閒,莊,輸,100,-100.0,2740.0
454,閒,莊,輸,100,-100.0,2640.0
455,閒,莊,輸,100,-100.0,2540.0
456,閒,閒,贏,100,100.0,2640.0
457,莊,閒,輸,100,-100.0,2540.0
458,莊,莊,贏,100,95.0,2635.0
459,閒,閒,贏,100,100.0,2735.0
460,莊,閒,輸,100,-100.0,2635.0
461,莊,閒,輸,100,-100.0,2535.0
462,莊,莊,贏,100,95.0,2630.0
463,閒,莊,輸,100,-100.0,2530.0
464,閒,莊,輸,100,-100.0,2430.0
465,閒,閒,贏,100,100.0,2530.0
466,莊,閒,輸,100,-100.0,2430.0
467,莊,閒,輸,100,-100.0,2330.0
468,莊,閒,輸,100,-100.0,2230.0
469,莊,閒,輸,100,-100.0,2130.0
470,莊,閒,輸,100,-100.0,2030.0
471,莊,和,和局,0,0.0,2030.0
472,莊,閒,輸,100,-100.0,1930.0
473,莊,閒,輸,100,-100.0,1830.0
474,莊,莊,贏,100,95.0,1925.0
475,閒,莊,輸,100,-100.0,1825.0
476,閒,閒,贏,100,100.0,1925.0
477,莊,莊,贏,100,95.0,2020.0
478,閒,閒,贏,100,100.0,2120.0
479,莊,莊,贏,100,95.0,2215.0
480,閒,莊,輸,100,-100.0,2115.0
481,閒,莊,輸,100,-100.0,2015.0
482,閒,閒,贏,100,100.0,2115.0
483,莊,莊,贏,100,95.0,2210.0
484,閒,閒,贏,100,100.0,2310.0
485,莊,莊,贏,100,95.0,2405.0
486,閒,莊,輸,100,-100.0,2305.0
487,閒,閒,贏,100,100.0,2405.0
488,莊,閒,輸,100,-100.0,2305.0
489,莊,莊,贏,100,95.0,2400.0
490,閒,莊,輸,100,-100.0,2300.0
491,閒,閒,贏,100,100.0,2400.0
492,莊,閒,輸,100,-100.0,2300.0
493,莊,和,和局,0,0.0,2300.0
494,莊,閒,輸,100,-100.0,2200.0
495,莊,莊,贏,100,95.0,2295.0
496,閒,閒,贏,100,100.0,2395.0
497,莊,莊,贏,100,95.0,2490.0
498,閒,和,和局,0,0.0,2490.0
499,閒,莊,輸,100,-100.0,2390.0
500,閒,莊,輸,100,-100.0,2290.0
