round,prediction,actual,result,bet,profit,balance
444,莊,閒,輸,100,-100.0,-1225.0
445,莊,莊,贏,100,95.0,-1130.0
446,莊,莊,贏,100,95.0,-1035.0
447,莊,閒,輸,100,-100.0,-1135.0
448,莊,莊,贏,100,95.0,-1040.0
449,莊,閒,輸,100,-100.0,-1140.0
450,莊,莊,贏,100,95.0,-1045.0
451,莊,閒,輸,100,-100.0,-1145.0
452,莊,莊,贏,100,95.0,-1050.0
453,莊,莊,贏,100,95.0,-955.0
454,莊,莊,贏,100,95.0,-860.0
455,莊,莊,贏,100,95.0,-765.0
456,莊,閒,輸,100,-100.0,-865.0
457,莊,閒,輸,100,-100.0,-965.0
458,閒,莊,輸,100,-100.0,-1065.0
459,莊,閒,輸,100,-100.0,-1165.0
460,莊,閒,輸,100,-100.0,-1265.0
461,閒,閒,贏,100,100.0,-1165.0
462,閒,莊,輸,100,-100.0,-1265.0
463,莊,莊,贏,100,95.0,-1170.0
464,莊,莊,贏,100,95.0,-1075.0
465,莊,閒,輸,100,-100.0,-1175.0
466,莊,閒,輸,100,-100.0,-1275.0
467,閒,閒,贏,100,100.0,-1175.0
468,閒,閒,贏,100,100.0,-1075.0
469,閒,閒,贏,100,100.0,-975.0
470,閒,閒,贏,100,100.0,-875.0
471,閒,和,和局,0,0.0,-875.0
472,閒,閒,贏,100,100.0,-775.0
473,閒,閒,贏,100,100.0,-675.0
474,閒,莊,輸,100,-100.0,-775.0
475,莊,莊,贏,100,95.0,-680.0
476,莊,閒,輸,100,-100.0,-780.0
477,莊,莊,贏,100,95.0,-685.0
478,莊,閒,輸,100,-100.0,-785.0
479,莊,莊,贏,100,95.0,-690.0
480,莊,莊,贏,100,95.0,-595.0
481,莊,莊,贏,100,95.0,-500.0
482,莊,閒,輸,100,-100.0,-600.0
483,莊,莊,贏,100,95.0,-505.0
484,莊,閒,輸,100,-100.0,-605.0
485,莊,莊,贏,100,95.0,-510.0
486,莊,莊,贏,100,95.0,-415.0
487,莊,閒,輸,100,-100.0,-515.0
488,莊,閒,輸,100,-100.0,-615.0
489,閒,莊,輸,100,-100.0,-715.0
490,莊,莊,贏,100,95.0,-620.0
491,莊,閒,輸,100,-100.0,-720.0
492,莊,閒,輸,100,-100.0,-820.0
493,閒,和,和局,0,0.0,-820.0
494,閒,閒,贏,100,100.0,-720.0
495,閒,莊,輸,100,-100.0,-820.0
496,莊,閒,輸,100,-100.0,-920.0
497,莊,莊,贏,100,95.0,-825.0
498,莊,和,和局,0,0.0,-825.0
499,莊,莊,贏,100,95.0,-730.0
500,莊,莊,贏,100,95.0,-635.0
